computer, size, run, open, setup, gpu, save, total
wc680sfp, 3, 1, 2.46953, 1.32435, 0.0946298, 21.1338, 24.9277
wc680sfp, 3, 2, 2.39648, 1.21443, 0.0933394, 21.1238, 24.7347
wc680sfp, 3, 3, 2.41586, 1.20483, 0.0852923, 20.997, 24.6177
wc680sfp, 5, 1, 2.4561, 1.35389, 0.231809, 22.2806, 26.0906
wc680sfp, 5, 2, 2.49703, 1.32084, 0.208699, 22.0176, 25.8355
wc680sfp, 5, 3, 2.37552, 1.32527, 0.217382, 22.0383, 25.7391
wc680sfp, 7, 1, 2.39066, 1.52253, 0.398713, 23.6148, 27.528
wc680sfp, 7, 2, 2.37092, 1.54592, 0.42103, 23.2742, 27.191
wc680sfp, 7, 3, 2.37625, 1.53426, 0.398786, 23.3944, 27.3049
wc680sfp, 9, 1, 2.3133, 1.78952, 0.665308, 23.1713, 27.2741
wc680sfp, 9, 2, 2.37653, 1.77287, 0.647536, 23.5303, 27.6797
wc680sfp, 9, 3, 2.37145, 1.79244, 0.668212, 23.2436, 27.4075
wc680sfp, 11, 1, 2.33021, 2.1281, 0.964214, 22.1788, 26.6371
wc680sfp, 11, 2, 2.37019, 2.11373, 0.997127, 22.4718, 26.9558
wc680sfp, 11, 3, 2.35485, 2.09735, 0.973419, 22.1886, 26.6408
wc680sfp, 13, 1, 2.30933, 2.45736, 1.34687, 22.992, 27.7587
wc680sfp, 13, 2, 2.31033, 2.4547, 1.34913, 22.9456, 27.7106
wc680sfp, 13, 3, 2.37588, 2.4576, 1.36385, 22.7579, 27.5914
wc680sfp, 15, 1, 2.39087, 2.93112, 1.7981, 23.863, 29.185
wc680sfp, 15, 2, 2.41592, 2.90345, 1.80401, 23.5939, 28.9132
wc680sfp, 15, 3, 2.49409, 2.90122, 1.7962, 23.7255, 29.1208
wc680sfp, 17, 1, 2.45013, 3.40818, 2.30597, 24.2856, 30.1439
wc680sfp, 17, 2, 2.37815, 3.39583, 2.29537, 24.3093, 30.0833
wc680sfp, 17, 3, 2.48066, 3.40392, 2.30692, 24.9307, 30.8153
wc680sfp, 19, 1, 2.44507, 3.98365, 2.87964, 24.261, 30.6898
wc680sfp, 19, 2, 2.84593, 3.98963, 2.89065, 24.1643, 30.9999
wc680sfp, 19, 3, 2.37258, 3.97618, 2.87842, 24.2653, 30.614
wc680sfp, 21, 1, 2.4432, 4.61283, 3.51611, 24.1442, 31.2003
wc680sfp, 21, 2, 2.28799, 4.59836, 3.50294, 24.3864, 31.2728
wc680sfp, 21, 3, 2.36345, 4.59058, 3.50446, 24.151, 31.105
wc680dfp, 3, 1, 3.24199, 2.5185, 0.0977168, 21.2524, 27.0129
wc680dfp, 3, 2, 2.49135, 1.47937, 0.192273, 21.1726, 25.1433
wc680dfp, 3, 3, 2.47122, 1.38636, 0.0945396, 20.9907, 24.8483
wc680dfp, 5, 1, 2.48608, 1.53941, 0.249663, 22.0216, 26.0471
wc680dfp, 5, 2, 2.48388, 1.51678, 0.234101, 22.2869, 26.2876
wc680dfp, 5, 3, 2.47271, 1.53572, 0.237318, 22.3127, 26.3211
wc680dfp, 7, 1, 2.47556, 1.73223, 0.439166, 23.351, 27.5588
wc680dfp, 7, 2, 2.48396, 1.74013, 0.441125, 23.917, 28.1411
wc680dfp, 7, 3, 2.52602, 1.73129, 0.43953, 23.4936, 27.7509
wc680dfp, 9, 1, 2.4766, 2.0173, 0.713663, 23.558, 28.0518
wc680dfp, 9, 2, 2.45374, 1.99875, 0.709471, 23.4571, 27.9096
wc680dfp, 9, 3, 2.50823, 2.03177, 0.72114, 23.8034, 28.3434
wc680dfp, 11, 1, 2.40813, 2.34943, 1.05994, 22.3674, 27.1249
wc680dfp, 11, 2, 2.47787, 2.3468, 1.06607, 22.4565, 27.2812
wc680dfp, 11, 3, 2.47573, 2.35762, 1.06933, 22.4948, 27.3282
wc680dfp, 13, 1, 2.48678, 2.7667, 1.4892, 23.031, 28.2844
wc680dfp, 13, 2, 2.52513, 2.75267, 1.48396, 22.9898, 28.2676
wc680dfp, 13, 3, 2.34415, 2.75666, 1.47338, 22.998, 28.0988
wc680dfp, 15, 1, 2.41324, 3.24852, 1.98331, 23.6919, 29.3537
wc680dfp, 15, 2, 2.4014, 3.27582, 1.99101, 23.7403, 29.4175
wc680dfp, 15, 3, 2.40326, 3.2594, 1.98387, 24.1373, 29.8
wc680dfp, 17, 1, 2.33228, 3.81688, 2.54136, 24.9833, 31.1324
wc680dfp, 17, 2, 2.4103, 3.82319, 2.54162, 24.3084, 30.5418
